frame,dF_F
463,0.202
464,0.1673
465,0.1383
466,0.0315
467,0.0623
468,-0.0067
469,-0.1188
470,-0.1227
471,-0.2342
472,-0.3245
473,-0.3835
474,-0.4888
475,-0.4844
476,-0.5026
477,-0.6261
478,-0.5942
479,-0.6443
480,-0.717
481,-0.7268
482,-0.7838
483,-0.8601
484,-0.829
485,-0.8113
486,-0.9037
487,-0.8903
488,-0.9709
489,-1.016
490,-1.0614
491,-1.0855
492,-0.9729
493,-0.9607
494,-1.0367
495,-0.6482
496,-0.2874
497,-0.0029
498,0.1536
499,0.1549
500,0.022
501,-0.0271
502,-0.1382
503,-0.2746
504,-0.3449
505,-0.0883
506,1.0931
507,1.0881
508,0.903
509,0.7907
510,0.7113
511,0.6558
512,0.5346
513,0.442
514,0.3919
515,0.2798
516,0.2495
517,0.2912
518,0.1919
519,0.2041
520,0.2417
521,0.1821
522,0.1713
523,0.1838
524,0.1154
525,0.1326
526,0.1793
527,0.0877
528,0.1124
529,0.0467
530,-0.0786
531,-0.0515
532,-0.0528
533,0.3755
534,2.4238
535,3.5405
536,4.2071
537,4.5085
538,4.7517
539,4.6589
540,4.3229
541,4.2369
542,4.0336
543,3.7928
544,3.6189
545,3.3637
546,3.2181
547,3.1097
548,2.9568
549,2.8175
550,2.7175
551,2.6229
552,2.5417
553,2.5005
554,2.4064
555,2.4781
556,2.4338
557,2.3344
558,2.2678
559,2.1952
560,2.2213
561,2.137
562,2.0493
563,1.9585
564,1.8275
565,1.8041
566,1.7763
567,1.7261
568,1.7388
569,1.6592
570,2.0089
571,1.928
572,1.7988
573,1.6734
574,1.6258
575,1.4942
576,1.5633
577,1.9077
578,1.896
579,3.082
580,4.0369
581,4.0676
582,3.8052
583,3.5932
584,3.4342
585,3.1346
586,2.8771
587,2.6789
588,2.4053
589,2.213
590,2.0445
591,1.7901
592,1.656
593,1.5922
594,1.4254
595,1.3131
596,1.2191
597,1.0961
598,1.0114
599,1.0211
600,0.9047
601,0.8437
602,0.7648
603,0.6474
604,0.5535
605,0.5931
606,0.5396
607,0.615
608,1.116
609,1.8591
610,2.1915
611,3.0161
612,3.5874
613,3.8512
614,3.7176
615,3.7463
616,3.8253
617,3.6637
618,3.5025
619,3.2346
620,2.984
621,2.8786
622,2.6128
623,2.3634
624,2.1778
625,2.0044
626,1.8549
627,1.812
628,1.6565
629,1.5301
630,1.4439
631,1.2694
632,1.1731
633,1.1405
634,1.0044
635,0.8305
636,0.785
637,0.7384
638,0.6033
639,0.5902
640,0.5336
641,0.4907
642,2.5138
643,3.9455
644,4.0672
645,4.1595
646,4.1586
647,4.0196
648,3.5906
649,3.3969
650,3.0552
651,2.8528
652,2.7013
653,2.4391
654,2.2864
655,2.0666
656,1.8534
657,1.7291
658,1.5476
659,1.4476
