frame,dF_F
454,5.6811
455,4.9954
456,4.3964
457,3.7973
458,3.5352
459,3.0859
460,2.7099
461,2.5907
462,2.2885
463,2.1238
464,1.9348
465,1.9859
466,2.6817
467,2.1258
468,1.8628
469,1.6699
470,1.498
471,1.5374
472,1.8433
473,1.9649
474,2.0323
475,2.0008
476,2.1918
477,1.7701
478,1.5189
479,1.5777
480,1.3464
481,1.2965
482,1.1383
483,0.9019
484,0.9077
485,0.7485
486,0.6135
487,0.5981
488,0.4954
489,0.4845
490,0.4694
491,0.3979
492,0.3863
493,0.2959
494,0.2807
495,0.2288
496,0.0745
497,0.0862
498,-0.0061
499,-0.1071
500,-0.1252
501,-0.2057
502,-0.2575
503,-0.2179
504,-0.3588
505,-0.3874
506,-0.3761
507,-0.5392
508,-0.5026
509,-0.5505
510,-0.662
511,-0.6024
512,-0.6583
513,-0.7473
514,-0.6902
515,-0.7558
516,-0.8273
517,-0.7416
518,-0.8058
519,-0.8568
520,-0.7536
521,-0.8256
522,-0.86
523,-0.7758
524,-0.9101
525,-0.9161
526,-0.7642
527,-0.8161
528,-0.7972
529,-0.7294
530,-0.8221
531,-0.728
532,-0.7228
533,-0.8759
534,-0.7619
535,-0.807
536,-0.8908
537,-0.7619
538,-0.9107
539,-0.9151
540,-0.8218
541,-0.9692
542,-0.8174
543,0.144
544,3.5676
545,11.8478
546,18.2827
547,21.914
548,21.5204
549,20.4385
550,16.9563
551,15.2002
552,14.8336
553,13.5444
554,11.8856
555,11.0664
556,9.9658
557,8.9841
558,7.8997
559,7.1737
560,6.2811
561,5.6096
562,4.8591
563,4.4207
564,3.8087
565,3.3655
566,3.189
567,2.6921
568,2.5444
569,2.2739
570,1.9617
571,2.0406
572,1.684
573,1.4882
574,1.8757
575,1.3754
576,1.1428
577,1.1936
578,1.0698
579,0.8953
580,0.9532
581,0.7637
582,0.7906
583,0.7946
584,0.6506
585,0.6608
586,0.4856
587,0.4223
588,0.3385
589,0.1783
590,0.228
591,0.9015
592,1.8708
593,1.5784
594,1.1017
595,0.8599
596,0.6461
597,0.407
598,0.3839
599,0.2524
600,0.0755
601,0.0911
602,0.0015
603,-0.1329
604,-0.0948
605,-0.2173
606,-0.332
607,-0.2589
608,-0.3992
609,-0.3678
610,-0.2165
611,-0.3235
612,-0.3774
613,-0.2163
614,-0.3582
615,-0.4317
616,-0.2518
617,-0.3845
